order_id,device_id,poll_events_3m_beforeOCT,poll_events_3m_afterOCT,poll_events_1h_beforeOCT,typesOf_status_codes_3m_beforeOCT,typesOf_status_codes_3m_afterOCT,typesOf_status_codes_1h_beforeOCT,typesOf_error_codes_3m_beforeOCT,typesOf_error_codes_3m_afterOCT,typesOf_error_codes_1h_beforeOCT,ok_responses_3m_beforeOCT,ok_responses_3m_afterOCT,ok_responses_1h_beforeOCT,order_creation_time,immed_preceding_polling_event_CT,immed_following_polling_event_CT,most_recent_conn_status,most_recent_conn_status_time
102500992,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1624,1,1,1,0,0,0,88,88,1624,2020-02-26T11:33:03.000+01:00,2020-02-26 00:00:09,2020-02-26 11:33:15,ONLINE,2020-02-26 03:17:43
102501158,82fb1d95-c894-4499-825e-8774d0247087,48,44,892,1,1,1,0,0,0,48,44,892,2020-02-26T11:34:32.000+01:00,2020-02-26 10:13:36,2020-02-26 11:34:45,ONLINE,2020-02-26 09:29:17
102506173,75f4361b-fdf3-40f9-a9f0-358e5a04951f,264,264,4290,1,1,2,0,0,1,264,264,4268,2020-02-26T12:02:22.000+01:00,2020-02-26 11:11:36,2020-02-26 12:02:37,ONLINE,2020-02-26 11:49:11
102513056,4a771d87-1cc3-4531-a671-9a2ae14628f0,96,96,1768,1,1,1,0,0,0,96,96,1768,2020-02-26T12:37:22.000+01:00,2020-02-26 00:00:09,2020-02-26 12:37:38,ONLINE,2020-02-26 03:17:43
102514278,a8d153dc-2294-4446-b190-78dd8c306e74,16,12,348,2,1,2,1,0,1,14,12,326,2020-02-26T12:42:59.000+01:00,2020-02-26 00:21:52,2020-02-26 12:44:19,ONLINE,2020-02-26 11:30:12
102517174,a8d153dc-2294-4446-b190-78dd8c306e74,12,16,332,2,1,2,1,0,1,10,16,310,2020-02-26T12:59:13.000+01:00,2020-02-26 00:21:52,2020-02-26 13:00:07,ONLINE,2020-02-26 11:30:12
102519579,75f4361b-fdf3-40f9-a9f0-358e5a04951f,264,242,4884,1,1,1,0,0,0,264,242,4884,2020-02-26T13:09:52.000+01:00,2020-02-26 11:11:36,2020-02-26 13:10:05,ONLINE,2020-02-26 11:49:11
102521410,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,24,426,1,1,2,0,0,1,22,24,424,2020-02-26T13:18:56.000+01:00,2020-02-26 00:00:12,2020-02-26 13:18:57,ONLINE,2020-02-26 13:00:16
102523133,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,80,1736,1,1,1,0,0,0,88,80,1736,2020-02-26T13:27:34.000+01:00,2020-02-26 00:00:09,2020-02-26 13:27:46,ONLINE,2020-02-26 03:17:43
102524885,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1720,1,1,1,0,0,0,88,88,1720,2020-02-26T13:37:54.000+01:00,2020-02-26 00:00:09,2020-02-26 13:38:00,ONLINE,2020-02-26 03:17:43
102526716,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1728,1,1,1,0,0,0,88,88,1728,2020-02-26T13:47:14.000+01:00,2020-02-26 00:00:09,2020-02-26 13:47:21,ONLINE,2020-02-26 03:17:43
102527745,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,16,438,1,1,2,0,0,1,22,16,436,2020-02-26T13:51:48.000+01:00,2020-02-26 00:00:12,2020-02-26 13:51:58,ONLINE,2020-02-26 13:00:16
102533390,75f4361b-fdf3-40f9-a9f0-358e5a04951f,264,242,4774,1,1,2,0,0,2,264,242,4664,2020-02-26T14:20:37.000+01:00,2020-02-26 11:11:36,2020-02-26 14:20:52,ONLINE,2020-02-26 11:49:11
102534028,4dc25416-ba7b-4291-9c5a-f8aa7ebae2c2,44,44,292,1,1,1,0,0,0,44,44,292,2020-02-26T14:27:08.000+01:00,2020-02-26 10:23:09,2020-02-26 14:27:10,ONLINE,2020-02-26 10:09:11
102538044,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1792,1,1,1,0,0,0,88,88,1792,2020-02-26T14:45:37.000+01:00,2020-02-26 00:00:09,2020-02-26 14:45:47,ONLINE,2020-02-26 03:17:43
102538669,b7e8b7f2-2df9-4f76-ace0-ccf5069db701,96,88,1712,1,1,2,0,0,1,96,88,1704,2020-02-26T14:49:52.000+01:00,2020-02-26 08:35:03,2020-02-26 14:50:05,ONLINE,2020-02-26 09:51:25
102545587,75f4361b-fdf3-40f9-a9f0-358e5a04951f,264,264,5038,1,1,2,0,0,1,264,264,5016,2020-02-26T15:26:03.000+01:00,2020-02-26 11:11:36,2020-02-26 15:26:11,ONLINE,2020-02-26 11:49:11
102546285,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1760,1,1,1,0,0,0,88,88,1760,2020-02-26T15:29:06.000+01:00,2020-02-26 00:00:09,2020-02-26 15:29:12,ONLINE,2020-02-26 03:17:43
102550635,055f5c23-c398-4b16-a30f-4b0c2e898926,888,814,16502,1,1,2,0,0,1,888,814,16428,2020-02-26T15:51:01.000+01:00,2020-02-26 10:50:27,2020-02-26 15:51:12,ONLINE,2020-02-26 11:07:20
102552703,4a771d87-1cc3-4531-a671-9a2ae14628f0,96,72,1752,1,1,1,0,0,0,96,72,1752,2020-02-26T16:02:01.000+01:00,2020-02-26 00:00:09,2020-02-26 16:02:15,ONLINE,2020-02-26 03:17:43
102559800,4a771d87-1cc3-4531-a671-9a2ae14628f0,96,88,1752,1,1,1,0,0,0,96,88,1752,2020-02-26T16:35:47.000+01:00,2020-02-26 00:00:09,2020-02-26 16:36:02,ONLINE,2020-02-26 03:17:43
