order_id,device_id,poll_events_3m_beforeOCT,poll_events_3m_afterOCT,poll_events_1h_beforeOCT,typesOf_status_codes_3m_beforeOCT,typesOf_status_codes_3m_afterOCT,typesOf_status_codes_1h_beforeOCT,typesOf_error_codes_3m_beforeOCT,typesOf_error_codes_3m_afterOCT,typesOf_error_codes_1h_beforeOCT,ok_responses_3m_beforeOCT,ok_responses_3m_afterOCT,ok_responses_1h_beforeOCT,order_creation_time,immed_preceding_polling_event_CT,immed_following_polling_event_CT,most_recent_conn_status,most_recent_conn_status_time
102458251,d0bc996f-72d2-4ec2-8f40-d82d81120862,114,108,1488,1,1,2,0,0,1,114,108,1464,2020-02-26T00:49:57.000+01:00,2020-02-26 00:00:02,2020-02-26 00:49:58,ONLINE,2020-02-26 00:44:18
102472308,d0bc996f-72d2-4ec2-8f40-d82d81120862,30,18,768,2,2,2,1,1,2,24,6,738,2020-02-26T03:01:56.000+01:00,2020-02-26 00:00:02,2020-02-26 03:02:21,ONLINE,2020-02-26 00:44:18
102495832,eb870f2d-f8c7-4bed-83d3-f0237e41098a,24,22,386,1,1,1,0,0,0,24,22,386,2020-02-26T10:59:59.000+01:00,2020-02-26 10:03:51,2020-02-26 11:00:11,ONLINE,2020-02-26 09:13:57
102496079,eb870f2d-f8c7-4bed-83d3-f0237e41098a,22,24,412,1,1,1,0,0,0,22,24,412,2020-02-26T11:05:23.000+01:00,2020-02-26 10:03:51,2020-02-26 11:05:25,ONLINE,2020-02-26 09:13:57
102501936,055f5c23-c398-4b16-a30f-4b0c2e898926,814,814,12580,1,1,2,0,0,2,814,814,12432,2020-02-26T11:38:44.000+01:00,2020-02-26 10:50:27,2020-02-26 11:38:46,ONLINE,2020-02-26 11:07:20
102502443,a8d153dc-2294-4446-b190-78dd8c306e74,18,14,320,1,2,2,0,1,1,18,10,308,2020-02-26T11:45:26.000+01:00,2020-02-26 00:21:52,2020-02-26 11:45:29,ONLINE,2020-02-26 11:30:12
102504056,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1744,1,1,1,0,0,0,88,88,1744,2020-02-26T12:06:36.000+01:00,2020-02-26 00:00:09,2020-02-26 12:06:37,ONLINE,2020-02-26 03:17:43
102504628,75f4361b-fdf3-40f9-a9f0-358e5a04951f,242,264,3938,1,1,2,0,0,1,242,264,3916,2020-02-26T11:58:27.000+01:00,2020-02-26 11:11:36,2020-02-26 11:58:31,ONLINE,2020-02-26 11:49:11
102504803,e7d50744-08f1-4718-bab2-c2a49221a8c9,40,36,776,1,1,2,0,0,1,40,36,768,2020-02-26T11:56:43.000+01:00,2020-02-26 11:00:13,2020-02-26 11:56:58,ONLINE,2020-02-26 10:48:40
102504984,f4a61767-a1a3-4b81-9994-28fdaf379498,72,72,738,1,1,2,0,0,1,72,72,732,2020-02-26T12:00:00.000+01:00,2020-02-26 00:00:03,2020-02-26 12:00:16,ONLINE,2020-02-26 11:20:51
102505287,4a771d87-1cc3-4531-a671-9a2ae14628f0,96,80,1736,1,1,1,0,0,0,96,80,1736,2020-02-26T12:00:56.000+01:00,2020-02-26 00:00:09,2020-02-26 12:01:11,ONLINE,2020-02-26 03:17:43
102507811,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1744,1,1,1,0,0,0,88,88,1744,2020-02-26T12:13:56.000+01:00,2020-02-26 00:00:09,2020-02-26 12:14:05,ONLINE,2020-02-26 03:17:43
102511020,f4a61767-a1a3-4b81-9994-28fdaf379498,72,66,1254,1,1,1,0,0,0,72,66,1254,2020-02-26T12:30:38.000+01:00,2020-02-26 00:00:03,2020-02-26 12:30:50,ONLINE,2020-02-26 11:20:51
102511423,a8d153dc-2294-4446-b190-78dd8c306e74,14,16,316,2,1,2,1,0,1,12,16,288,2020-02-26T12:29:45.000+01:00,2020-02-26 00:21:52,2020-02-26 12:29:46,ONLINE,2020-02-26 11:30:12
102512459,ea6991c2-0bb6-42f9-9ebf-81309e17f2d9,176,192,1536,1,1,1,0,0,0,176,192,1536,2020-02-26T12:34:07.000+01:00,2020-02-26 11:02:30,2020-02-26 12:34:17,ONLINE,2020-02-26 11:38:44
102515100,b7e8b7f2-2df9-4f76-ace0-ccf5069db701,96,88,416,1,1,1,0,0,0,96,88,416,2020-02-26T12:47:18.000+01:00,2020-02-26 08:35:03,2020-02-26 12:47:32,ONLINE,2020-02-26 09:51:25
